日志时间：2012-07-31 15:00:15,496  
[系统:system;描述:方法拦截;代码:700]执行用时：135毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":2,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:00:16,746  
[系统:system;描述:方法拦截;代码:700]执行用时：583毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:02:57,561  
[系统:system;描述:方法拦截;代码:700]执行用时：300毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,1599; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:02:59,383  
[系统:system;描述:方法拦截;代码:700]执行用时：16毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":2,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:02:59,679  
[系统:system;描述:方法拦截;代码:700]执行用时：131毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:03:03,038  
[系统:system;描述:方法拦截;代码:700]执行用时：13毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,0; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"id":1,"pid":0,"name":"北京市","type":2,"zip":"110000","code":null,"child_total":0},{"id":2,"pid":0,"name":"天津市","type":2,"zip":"120000","code":null,"child_total":0},{"id":3,"pid":0,"name":"河北省","type":2,"zip":"130000","code":null,"child_total":0},{"id":4,"pid":0,"name":"山西省","type":2,"zip":"140000","code":null,"child_total":0},{"id":5,"pid":0,"name":"内蒙古自治区","type":2,"zip":"150000","code":null,"child_total":0},{"id":6,"pid":0,"name":"辽宁省","type":2,"zip":"210000","code":null,"child_total":0},{"id":7,"pid":0,"name":"吉林省","type":2,"zip":"220000","code":null,"child_total":0},{"id":8,"pid":0,"name":"黑龙江省","type":2,"zip":"230000","code":null,"child_total":0},{"id":9,"pid":0,"name":"上海市","type":2,"zip":"310000","code":null,"child_total":0},{"id":10,"pid":0,"name":"江苏省","type":2,"zip":"320000","code":null,"child_total":0},{"id":11,"pid":0,"name":"浙江省","type":2,"zip":"330000","code":null,"child_total":0},{"id":12,"pid":0,"name":"安徽省","type":2,"zip":"340000","code":null,"child_total":0},{"id":13,"pid":0,"name":"福建省","type":2,"zip":"350000","code":null,"child_total":0},{"id":14,"pid":0,"name":"江西省","type":2,"zip":"360000","code":null,"child_total":0},{"id":15,"pid":0,"name":"山东省","type":2,"zip":"370000","code":null,"child_total":0},{"id":16,"pid":0,"name":"河南省","type":2,"zip":"410000","code":null,"child_total":0},{"id":17,"pid":0,"name":"湖北省","type":2,"zip":"420000","code":null,"child_total":0},{"id":18,"pid":0,"name":"湖南省","type":2,"zip":"430000","code":null,"child_total":0},{"id":19,"pid":0,"name":"广东省","type":2,"zip":"440000","code":null,"child_total":0},{"id":20,"pid":0,"name":"广西壮族自治区","type":2,"zip":"450000","code":null,"child_total":0},{"id":22,"pid":0,"name":"重庆市","type":2,"zip":"500000","code":null,"child_total":0},{"id":23,"pid":0,"name":"四川省","type":2,"zip":"510000","code":null,"child_total":0},{"id":24,"pid":0,"name":"贵州省","type":2,"zip":"520000","code":null,"child_total":0},{"id":25,"pid":0,"name":"云南省","type":2,"zip":"530000","code":null,"child_total":0},{"id":26,"pid":0,"name":"西藏自治区","type":2,"zip":"540000","code":null,"child_total":0},{"id":27,"pid":0,"name":"陕西省","type":2,"zip":"610000","code":null,"child_total":0},{"id":28,"pid":0,"name":"甘肃省","type":2,"zip":"620000","code":null,"child_total":0},{"id":29,"pid":0,"name":"青海省","type":2,"zip":"630000","code":null,"child_total":0},{"id":30,"pid":0,"name":"宁夏回族自治区","type":2,"zip":"640000","code":null,"child_total":0},{"id":31,"pid":0,"name":"新疆维吾尔自治区","type":2,"zip":"650000","code":null,"child_total":0},{"id":32,"pid":0,"name":"台湾省","type":2,"zip":"710000","code":null,"child_total":0},{"id":33,"pid":0,"name":"香港特别行政区","type":2,"zip":"810000","code":null,"child_total":0},{"id":34,"pid":0,"name":"海南省","type":2,"zip":"460100","code":null,"child_total":0}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:03:49,369  
[系统:system;描述:方法拦截;代码:700]执行用时：11毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":2,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:03:49,899  
[系统:system;描述:方法拦截;代码:700]执行用时：78毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:05:58,603  
[系统:system;描述:方法拦截;代码:700]执行用时：17毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":2,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:05:59,059  
[系统:system;描述:方法拦截;代码:700]执行用时：92毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:06:03,417  
[系统:system;描述:方法拦截;代码:700]执行用时：13毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":2,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:06:04,220  
